Name,Street Address,Locality,State,Zip code,Telephone,fax
Suwanee Animal Hospital,85 Buford Hwy,Suwanee,GA,30024, (770) 271-8716, (770) 271-1944
Sugar Creek Animal Hospital,6603 Sugarloaf Pkwy,Duluth,GA,30097, (770) 497-8281, (770) 497-8250
Steeplechase Veterinary Hospital,5610 Bethelview Rd,Cumming,GA,30040, (678) 208-2200, (678) 208-2201
Spalding Animal Hospital,105 Technology Pkwy,Peachtree Corners,GA,30092, (770) 558-4347, (770) 208-1901
Sheperd Animal Hospital,3990 Peachtree Industrial Blvd.,Duluth,GA,30096, (678) 580-3001, (770) 208-1901
Animal Medical Clinic,3345 Old Salem Rd SE,Conyers,GA,30013, (770) 922-3209,
Pleasant Hill Animal Hospital,2982 Pleasant Hill Rd,Duluth,GA,30096, (770) 476-9339, (770) 418-9102
Planned PEThood of Georgia Inc,2860 Buford Hwy Bldg F Ste 2,Duluth,GA,30096, (678) 561-3491, (770) 649-1614
PET MED PLUS,2848 HOLCOMB BRIDGE RD,ALPHARETTA,GA,30022, (770) 993-7887, (770) 649-1614
Paw Patch Animal Clinic,1150 Upper Hembree Rd,Roswell,GA,30076, (678) 535-7290, (770) 450-8573
PEACHTREE CORNERS ANIMAL CLINIC,4020 HOLCOMB BRIDGE RD,NORCROSS,GA,30092, (770) 448-0700, (770) 450-8573
Loving Hands Animal Clinic,13775 Highway 9,Alpharetta,GA,30004, (770) 667-9022, (770) 667-1626
Little River Animal Hospital,15710 Birmingham Hwy,Alpharetta,GA,30004, (770) 619-1616, (770) 619-2323
Loving Hands Animal Clinic,13775 Highway 9,Alpharetta,GA,30004, (770) 667-9022, (770) 667-1626
Laurel Springs Animal Hospital,3592 Old Atlanta Rd,Suwanee,GA,30024, (770) 888-9750, (770) 888-9709
Lafferty Animal Clinic,10155 Haynes Bridge Rd,Alpharetta,GA,30022, (770) 754-3004, (770) 410-1856
Jones Bridge Animal Hospital,11450 Jones Bridge Rd,Alpharetta,GA,30022, (770) 410-0044, (770) 410-1856
Johns Creek Veterinary Clinic,10540 Medlock Bridge Rd,Johns Creek,GA,30097, (770) 623-8387, (770) 623-8756
It's A Dog's Life Doggy Daycare & Resort - Veterinary Services,11130 State Bridge Road Suite A101,Alpharetta,GA,30022, (770) 504-4555, (678) 795-1226
Ivy Hill Animal Hospital,10030 Medlock Bridge Rd,Duluth,GA,30097, (770) 418-1122, (770) 418-1175
Hollyberry Animal Hospital,10915 Alpharetta Hwy,Roswell,GA,30076, (678) 795-1116, (678) 795-1226
Hamby Road Animal Hospital,3785 Hamby Rd,Alpharetta,GA,30004, (770) 521-1314, (770) 521-1349
Holcomb Bridge Animal Hospital,1575 Holcomb Bridge Rd,Roswell,GA,30076, (770) 998-8865, (770) 998-1462
Heart of Suwanee Animal Hospital,750 Peachtree Industrial Blvd,Suwanee,GA,30024, (770) 271-8222, (770) 945-7187
Foxdale Equine Veterinary Svc,4779 Castleberry Rd,Cumming,GA,30040, (770) 781-4415, (770) 889-6020
Four Paws Animal Hospital,3571 Peachtree Pkwy,Suwanee,GA,30024, (770) 844-7387, (770) 889-6020
Forsyth Animal Hospital,2619 Atlanta Hwy,Cumming,GA,30040, (770) 887-8099, (770) 887-7831
Feline Wellness Center,"6955 McGinnis Ferry Road, Ste 104",Johns Creek,GA,30097, (678) 786-2287, (678) 786-2286
Feline Wellness Center,6955 McGinnis Ferry Rd. Ste 104,Johns Creek,GA,30097, (678) 786-2287, (770) 645-5690
Family Tree Animal Clinic,13900 Birmingham Hwy,Milton,GA,30004, (770) 450-8880, (770) 645-5690
Faithful Friend Mobile Veterinary Clinic,4581 Kelly Mill Rd.,Cumming,GA,30040, (770) 752-9710, (770) 645-5690
Express Vets,5485 Bethelview Rd Suite 440,Cumming,GA,30040, (470) 239-7672, (770) 645-5690
Crossroads Animal Clinic Inc,1145 Peachtree Industrial Blvd,Suwanee,GA,30024, (770) 614-4000, (770) 614-1373
East Roswell Vet Hospital,1570 Holcomb Bridge Rd Suite 110 ,Roswell,GA,30076, (770) 642-1282, (770) 645-5690
Duluth Animal Hospital,2965 Buford Hwy,Duluth,GA,30096, (770) 476-3317, (770) 476-7759
Dr. Mala Hayes DVM Housecall,,Johns Creek,GA,30005, (678) 592-8215, (770) 781-4195
Cumming Veterinary Clinic,4110 Deputy Bill Cantrell Memorial Road,Cumming,GA,30040, (770) 887-3119, (770) 781-4195
Crestview Animal Hospital,307 Pilgrim Mill Rd,Cumming,GA,30040, (770) 889-2521, (770) 888-3595
COUNTRY PLACE ANIMAL HOSPITAL,2165 OLD MILTON PKWY,ALPHARETTA,GA,30004, (770) 475-4159, (770) 889-6809
Coal Mountain Animal Hospital,3370 Matt Hwy,Cumming,GA,30040, (770) 888-6757, (770) 889-6809
Crabapple Knoll Veterinary,12604 Crabapple Rd,Alpharetta,GA,30004, (770) 475-8272, (770) 667-6492
Crabapple Animal Hospital,12280 Houze Rd,Alpharetta,GA,30004, (770) 751-1031, (770) 716-5659
Camden Village Animal Hospital,3719 Old Alabama Rd,Johns Creek,GA,30022, (678) 710-9031, (678) 218-1878
Bridge Park Animal Hospital,"11105 State Bridge Rd., Ste 100",Alpharetta,GA,30022, (770) 569-5799, (678) 218-1878
Big Creek Animal Hospital,5995 Post Road,Cumming,GA,30040, (470) 839-9700, (678) 804-7902
Berkeley Lake Animal Hospital,2900 Peachtree Ind. Blvd,Duluth,GA,30097, (770) 476-8411, (678) 600-8399
Banfield The Pet Hospital,3630 Peachtree Pkwy,Suwanee,GA,30024, (770) 814-2403, (770) 814-2415
Banfield The Pet Hospital,3803 Venture Dr,Duluth,GA,30096, (770) 813-8600, (770) 813-8852
Banfield Pet Hospital,3455 Peachtree Industrial Blvd,Duluth,GA,30096, (770) 623-2705, (770) 623-2708
Barkfield Animal Hospital,108 Mary Alice Park Rd,Cumming,GA,30040, (678) 208-2275, (678) 600-8399
Banfield Pet Hospital,6050 Peachtree Parkway Ste 43,Norcross,GA,30092, (770) 798-9322, (770) 407-2277
Banfield Pet Hospital,2220 Peachtree Industrial Blvd #100,Duluth,GA,30097, (770) 623-5642, (770) 407-2277
Atlanta Veterinary Specialist,7350 McGinnis Ferry Rd,Johns Creek,GA,30024, (770) 407-3000, (770) 407-2277
Atlanta Veterinary Dental Services,"900 Mansell Road, Suite 19",Roswell,GA,30076, (770) 552-8777, (678) 412-4670
Atlanta Mobile Vets,PO Box 191,Alpharetta,GA,30009, (770) 424-8387, (770) 649-5647
Atlanta Equine,14750 Hopewell Rd,Alpharetta,GA,30004, (678) 867-2577, (770) 649-5647
Atlanta Equine Veterinary Svc,1051 Colony Dr,Alpharetta,GA,30004, (770) 475-9659, (770) 649-5647
Alpharetta Animal Hospital,80 Milton Ave,Alpharetta,GA,30009, (770) 475-7613, (770) 442-3002
